"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Distribution d'électricité (NAF rév. 2, niveau classe, poste 35.13)";"Codes"
"idBank";"010537873";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"2023-01";"92.21";"A"
"2022-12";"95.31";"A"
"2022-11";"85.53";"A"
"2022-10";"87.74";"A"
"2022-09";"96.52";"A"
"2022-08";"99.07";"A"
"2022-07";"99.46";"A"
"2022-06";"99.31";"A"
"2022-05";"93.25";"A"
"2022-04";"98.88";"A"
"2022-03";"97.02";"A"
"2022-02";"97.87";"A"
"2022-01";"101.91";"A"
"2021-12";"100.65";"A"
"2021-11";"102.59";"A"
"2021-10";"100.81";"A"
"2021-09";"98.07";"A"
"2021-08";"96.59";"A"
"2021-07";"96.42";"A"
"2021-06";"98.14";"A"
"2021-05";"101.84";"A"
"2021-04";"100.66";"A"
"2021-03";"99.5";"A"
"2021-02";"96.86";"A"
"2021-01";"102.63";"A"
"2020-12";"96.97";"A"
"2020-11";"90.32";"A"
"2020-10";"105.87";"A"
"2020-09";"98.84";"A"
"2020-08";"99.11";"A"
"2020-07";"97.3";"A"
"2020-06";"95.24";"A"
"2020-05";"89.47";"A"
"2020-04";"82.04";"A"
"2020-03";"95.97";"A"
"2020-02";"97.43";"A"
"2020-01";"95.25";"A"
"2019-12";"96.46";"A"
"2019-11";"100.49";"A"
"2019-10";"97.65";"A"
"2019-09";"97.55";"A"
"2019-08";"97.75";"A"
"2019-07";"100.51";"A"
"2019-06";"100.08";"A"
"2019-05";"102.16";"A"
"2019-04";"99.91";"A"
"2019-03";"97.43";"A"
"2019-02";"98.83";"A"
"2019-01";"103.4";"A"
"2018-12";"97.05";"A"
"2018-11";"99.05";"A"
"2018-10";"99.36";"A"
"2018-09";"98.89";"A"
"2018-08";"100.7";"A"
"2018-07";"100.57";"A"
"2018-06";"99.35";"A"
"2018-05";"97.9";"A"
"2018-04";"96.34";"A"
"2018-03";"110.19";"A"
"2018-02";"113.26";"A"
"2018-01";"92.89";"A"
"2017-12";"105.25";"A"
"2017-11";"102.77";"A"
"2017-10";"98.0";"A"
"2017-09";"101.45";"A"
"2017-08";"99.96";"A"
