"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Extraction d'hydrocarbures (NAF rév. 2, niveau division, poste 06)";"Codes"
"idBank";"010537206";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"2023-01";"70.47";"A"
"2022-12";"71.33";"A"
"2022-11";"71.17";"A"
"2022-10";"67.72";"A"
"2022-09";"71.09";"A"
"2022-08";"73.52";"A"
"2022-07";"71.2";"A"
"2022-06";"73.59";"A"
"2022-05";"76.36";"A"
"2022-04";"74.84";"A"
"2022-03";"78.87";"A"
"2022-02";"78.74";"A"
"2022-01";"78.47";"A"
"2021-12";"76.6";"A"
"2021-11";"78.18";"A"
"2021-10";"66.49";"A"
"2021-09";"69.56";"A"
"2021-08";"81.87";"A"
"2021-07";"80.51";"A"
"2021-06";"82.21";"A"
"2021-05";"81.21";"A"
"2021-04";"73.95";"A"
"2021-03";"81.16";"A"
"2021-02";"82.64";"A"
"2021-01";"84.0";"A"
"2020-12";"83.39";"A"
"2020-11";"85.04";"A"
"2020-10";"83.7";"A"
"2020-09";"79.48";"A"
"2020-08";"82.56";"A"
"2020-07";"81.65";"A"
"2020-06";"74.92";"A"
"2020-05";"52.71";"A"
"2020-04";"59.04";"A"
"2020-03";"84.6";"A"
"2020-02";"85.19";"A"
"2020-01";"86.49";"A"
"2019-12";"87.7";"A"
"2019-11";"89.94";"A"
"2019-10";"91.24";"A"
"2019-09";"89.27";"A"
"2019-08";"89.11";"A"
"2019-07";"82.87";"A"
"2019-06";"75.36";"A"
"2019-05";"72.44";"A"
"2019-04";"90.05";"A"
"2019-03";"91.12";"A"
"2019-02";"93.79";"A"
"2019-01";"93.14";"A"
"2018-12";"92.37";"A"
"2018-11";"91.91";"A"
"2018-10";"93.15";"A"
"2018-09";"92.15";"A"
"2018-08";"93.12";"A"
"2018-07";"93.48";"A"
"2018-06";"94.7";"A"
"2018-05";"92.41";"A"
"2018-04";"93.37";"A"
"2018-03";"93.15";"A"
"2018-02";"90.68";"A"
"2018-01";"90.59";"A"
"2017-12";"91.74";"A"
"2017-11";"92.49";"A"
"2017-10";"90.24";"A"
"2017-09";"91.23";"A"
"2017-08";"89.61";"A"
"2017-07";"89.28";"A"
"2017-06";"90.01";"A"
"2017-05";"93.08";"A"
"2017-04";"92.64";"A"
"2017-03";"89.85";"A"
"2017-02";"88.46";"A"
"2017-01";"91.85";"A"
"2016-12";"94.08";"A"
"2016-11";"92.74";"A"
"2016-10";"94.22";"A"
"2016-09";"93.82";"A"
"2016-08";"97.66";"A"
"2016-07";"97.52";"A"
"2016-06";"97.19";"A"
"2016-05";"97.84";"A"
"2016-04";"101.02";"A"
"2016-03";"101.07";"A"
"2016-02";"102.51";"A"
"2016-01";"102.39";"A"
"2015-12";"102.03";"A"
"2015-11";"103.26";"A"
"2015-10";"99.98";"A"
"2015-09";"97.44";"A"
"2015-08";"99.24";"A"
"2015-07";"102.02";"A"
"2015-06";"103.32";"A"
"2015-05";"103.12";"A"
"2015-04";"99.11";"A"
"2015-03";"98.26";"A"
"2015-02";"97.23";"A"
"2015-01";"94.98";"A"
"2014-12";"87.21";"A"
"2014-11";"86.47";"A"
"2014-10";"90.32";"A"
"2014-09";"87.78";"A"
"2014-08";"88.39";"A"
"2014-07";"85.74";"A"
"2014-06";"84.82";"A"
"2014-05";"87.42";"A"
"2014-04";"87.02";"A"
"2014-03";"87.07";"A"
"2014-02";"87.03";"A"
"2014-01";"87.75";"A"
"2013-12";"89.11";"A"
"2013-11";"89.61";"A"
"2013-10";"99.93";"A"
"2013-09";"120.13";"A"
"2013-08";"129.3";"A"
"2013-07";"123.55";"A"
"2013-06";"123.79";"A"
"2013-05";"121.07";"A"
"2013-04";"121.19";"A"
"2013-03";"123.2";"A"
"2013-02";"126.69";"A"
"2013-01";"120.96";"A"
"2012-12";"126.36";"A"
"2012-11";"128.42";"A"
"2012-10";"128.16";"A"
"2012-09";"129.04";"A"
"2012-08";"128.23";"A"
"2012-07";"123.5";"A"
"2012-06";"130.07";"A"
"2012-05";"128.42";"A"
"2012-04";"131.53";"A"
"2012-03";"131.0";"A"
"2012-02";"129.73";"A"
"2012-01";"130.65";"A"
"2011-12";"135.98";"A"
"2011-11";"137.52";"A"
"2011-10";"139.26";"A"
"2011-09";"128.35";"A"
"2011-08";"140.22";"A"
"2011-07";"140.65";"A"
"2011-06";"144.66";"A"
"2011-05";"143.16";"A"
"2011-04";"134.19";"A"
"2011-03";"135.58";"A"
"2011-02";"150.99";"A"
"2011-01";"154.82";"A"
"2010-12";"154.28";"A"
"2010-11";"166.98";"A"
"2010-10";"150.02";"A"
"2010-09";"153.87";"A"
"2010-08";"152.75";"A"
"2010-07";"156.8";"A"
"2010-06";"148.97";"A"
"2010-05";"141.99";"A"
"2010-04";"141.56";"A"
"2010-03";"151.19";"A"
"2010-02";"145.36";"A"
"2010-01";"148.77";"A"
"2009-12";"147.2";"A"
"2009-11";"152.31";"A"
"2009-10";"155.62";"A"
"2009-09";"154.84";"A"
"2009-08";"154.49";"A"
"2009-07";"157.95";"A"
"2009-06";"161.64";"A"
"2009-05";"159.61";"A"
"2009-04";"160.95";"A"
"2009-03";"162.85";"A"
"2009-02";"172.89";"A"
"2009-01";"158.11";"A"
"2008-12";"168.37";"A"
"2008-11";"164.84";"A"
"2008-10";"141.59";"A"
"2008-09";"146.77";"A"
"2008-08";"168.68";"A"
"2008-07";"175.18";"A"
"2008-06";"172.63";"A"
"2008-05";"170.45";"A"
"2008-04";"175.16";"A"
"2008-03";"175.93";"A"
"2008-02";"174.84";"A"
"2008-01";"176.33";"A"
"2007-12";"173.53";"A"
"2007-11";"169.53";"A"
"2007-10";"178.62";"A"
"2007-09";"175.95";"A"
"2007-08";"177.52";"A"
"2007-07";"180.41";"A"
"2007-06";"182.01";"A"
"2007-05";"174.29";"A"
"2007-04";"148.33";"A"
"2007-03";"176.18";"A"
"2007-02";"165.26";"A"
"2007-01";"169.46";"A"
"2006-12";"181.96";"A"
"2006-11";"188.54";"A"
"2006-10";"188.21";"A"
"2006-09";"187.17";"A"
"2006-08";"185.58";"A"
"2006-07";"177.58";"A"
"2006-06";"184.82";"A"
"2006-05";"187.83";"A"
"2006-04";"191.97";"A"
"2006-03";"186.37";"A"
"2006-02";"195.51";"A"
"2006-01";"193.93";"A"
"2005-12";"189.86";"A"
"2005-11";"170.61";"A"
"2005-10";"158.25";"A"
"2005-09";"157.35";"A"
"2005-08";"187.65";"A"
"2005-07";"192.1";"A"
"2005-06";"199.51";"A"
"2005-05";"199.45";"A"
"2005-04";"195.28";"A"
"2005-03";"197.65";"A"
"2005-02";"193.16";"A"
"2005-01";"203.56";"A"
"2004-12";"199.33";"A"
"2004-11";"192.86";"A"
"2004-10";"198.88";"A"
"2004-09";"202.65";"A"
"2004-08";"204.03";"A"
"2004-07";"211.98";"A"
"2004-06";"208.69";"A"
"2004-05";"222.62";"A"
"2004-04";"220.77";"A"
"2004-03";"216.67";"A"
"2004-02";"220.37";"A"
"2004-01";"217.98";"A"
"2003-12";"224.69";"A"
"2003-11";"209.63";"A"
"2003-10";"199.65";"A"
"2003-09";"219.96";"A"
"2003-08";"218.26";"A"
"2003-07";"224.64";"A"
"2003-06";"227.07";"A"
"2003-05";"233.7";"A"
"2003-04";"236.89";"A"
"2003-03";"236.01";"A"
"2003-02";"235.23";"A"
"2003-01";"233.4";"A"
"2002-12";"239.95";"A"
"2002-11";"230.31";"A"
"2002-10";"239.16";"A"
"2002-09";"248.23";"A"
"2002-08";"245.88";"A"
"2002-07";"249.98";"A"
"2002-06";"255.82";"A"
"2002-05";"252.64";"A"
"2002-04";"253.56";"A"
"2002-03";"256.86";"A"
"2002-02";"254.07";"A"
"2002-01";"256.27";"A"
"2001-12";"229.04";"A"
"2001-11";"230.07";"A"
"2001-10";"255.51";"A"
"2001-09";"258.46";"A"
"2001-08";"261.49";"A"
"2001-07";"260.55";"A"
"2001-06";"274.21";"A"
"2001-05";"266.15";"A"
"2001-04";"266.25";"A"
"2001-03";"268.1";"A"
"2001-02";"267.55";"A"
"2001-01";"270.93";"A"
"2000-12";"275.27";"A"
"2000-11";"270.26";"A"
"2000-10";"273.78";"A"
"2000-09";"272.21";"A"
"2000-08";"282.98";"A"
"2000-07";"263.85";"A"
"2000-06";"221.18";"A"
"2000-05";"242.57";"A"
"2000-04";"251.41";"A"
"2000-03";"273.87";"A"
"2000-02";"279.61";"A"
"2000-01";"272.17";"A"
"1999-12";"266.85";"A"
"1999-11";"293.3";"A"
"1999-10";"298.62";"A"
"1999-09";"293.74";"A"
"1999-08";"294.1";"A"
"1999-07";"302.54";"A"
"1999-06";"278.14";"A"
"1999-05";"202.88";"A"
"1999-04";"280.77";"A"
"1999-03";"301.22";"A"
"1999-02";"293.82";"A"
"1999-01";"292.92";"A"
"1998-12";"303.92";"A"
"1998-11";"321.3";"A"
"1998-10";"313.63";"A"
"1998-09";"308.03";"A"
"1998-08";"311.54";"A"
"1998-07";"317.67";"A"
"1998-06";"296.09";"A"
"1998-05";"295.21";"A"
"1998-04";"322.76";"A"
"1998-03";"308.08";"A"
"1998-02";"322.24";"A"
"1998-01";"324.16";"A"
"1997-12";"333.42";"A"
"1997-11";"325.35";"A"
"1997-10";"332.82";"A"
"1997-09";"332.23";"A"
"1997-08";"332.8";"A"
"1997-07";"347.75";"A"
"1997-06";"335.94";"A"
"1997-05";"339.73";"A"
"1997-04";"352.77";"A"
"1997-03";"344.33";"A"
"1997-02";"350.54";"A"
"1997-01";"346.91";"A"
"1996-12";"354.05";"A"
"1996-11";"360.14";"A"
"1996-10";"363.58";"A"
"1996-09";"379.66";"A"
"1996-08";"368.84";"A"
"1996-07";"329.44";"A"
"1996-06";"372.85";"A"
"1996-05";"418.48";"A"
"1996-04";"423.66";"A"
"1996-03";"427.95";"A"
"1996-02";"425.44";"A"
"1996-01";"446.52";"A"
"1995-12";"441.41";"A"
"1995-11";"480.38";"A"
"1995-10";"461.16";"A"
"1995-09";"462.75";"A"
"1995-08";"453.95";"A"
"1995-07";"400.58";"A"
"1995-06";"401.68";"A"
"1995-05";"475.39";"A"
"1995-04";"465.59";"A"
"1995-03";"472.3";"A"
"1995-02";"470.12";"A"
"1995-01";"478.98";"A"
"1994-12";"476.89";"A"
"1994-11";"484.68";"A"
"1994-10";"479.4";"A"
"1994-09";"460.23";"A"
"1994-08";"519.99";"A"
"1994-07";"508.26";"A"
"1994-06";"525.84";"A"
"1994-05";"495.18";"A"
"1994-04";"510.0";"A"
"1994-03";"510.86";"A"
"1994-02";"511.6";"A"
"1994-01";"482.61";"A"
"1993-12";"528.83";"A"
"1993-11";"518.68";"A"
"1993-10";"483.27";"A"
"1993-09";"424.98";"A"
"1993-08";"496.34";"A"
"1993-07";"487.52";"A"
"1993-06";"479.03";"A"
"1993-05";"492.55";"A"
"1993-04";"505.3";"A"
"1993-03";"497.64";"A"
"1993-02";"501.65";"A"
"1993-01";"499.62";"A"
"1992-12";"489.98";"A"
"1992-11";"480.13";"A"
"1992-10";"494.31";"A"
"1992-09";"479.11";"A"
"1992-08";"482.39";"A"
"1992-07";"490.07";"A"
"1992-06";"493.21";"A"
"1992-05";"511.47";"A"
"1992-04";"514.55";"A"
"1992-03";"516.61";"A"
"1992-02";"520.58";"A"
"1992-01";"512.61";"A"
"1991-12";"520.11";"A"
"1991-11";"510.61";"A"
"1991-10";"501.49";"A"
"1991-09";"464.78";"A"
"1991-08";"514.56";"A"
